"Course Code","Course Name","Section","Faculty","Schedule","Room"
"BMT 1103","Business Mathematics I","I (IF REQ.)","Gouranga Chandra Debnath","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 202","202"
"FIN 4322","International Financial Management","A","Muhammad Enamul Haque","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 225","225"
"BMT 2113","Business Mathematics II","A","Mosabbir Uddin Ahmad","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 207","207"
"BMT 2113","Business Mathematics II","B","Mosabbir Uddin Ahmad","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 206","206"
"BMT 2113","Business Mathematics II","C","Mimnun Sultana","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 223","223"
"BMT 2113","Business Mathematics II","D","Mosabbir Uddin Ahmad","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 206","206"
"BMT 2113","Business Mathematics II","E (IF REQ)","TBA","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 225","225"
"HRM 4152","Compensation Management","A","Jakowan","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 225","225"
"HRM 4358","Performance Appraisal and Management","A","Nasrin Akter","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 222","222"
"ACN 1205","Financial Accounting I","A","Salma Karim","Saturday 13:51-15:10 | Tuesday 13:51-15:10 | 210","210"
